query_id,prompt,ground_truth,ambiguity_tier,prompt_tags,rule_based_tool,always_local_tool,zero_shot_llm_tool,zero_shot_llm_reason,few_shot_llm_tool,few_shot_llm_reason,cot_llm_tool,cot_llm_reason,langgraph_agent_tool,langgraph_agent_reason
11,What was Adobe's total revenue for fiscal year 2025?,local,2,"['adobe', 'revenue', 'financials', 'local_doc_or_web_summary', 'annual_results']",local,local,local,,local,,local,,local,Adobe's total revenue for fiscal year 2025 is historical/static financial data that would be found in their annual report or 10-K filing.
12,What are the main risks Airbnb faces as a business?,local,2,"['airbnb', 'risk_factors', '10K_section_or_web_analysis', 'investment_research']",uncertain,local,local,,local,,local,,local,"Business risk factors are static, document-specific information typically found in Airbnb's 10-K filings or other historical financial disclosures."
13,How does Amazon Web Services compete against Microsoft Azure and Google Cloud?,web,2,"['amazon', 'AWS', 'competitive_analysis', 'current_market_or_local_doc', 'cloud']",uncertain,local,local,,web,,web,,local,"This is a strategic/competitive analysis question about cloud service providers that can be answered using existing documents, reports, and historical business analysis rather than real-time market data."
14,What is American Express's strategy for growing its international card services business?,local,2,"['amex', 'international', 'strategy', 'local_doc_or_web_analysis', 'ICS_segment']",uncertain,local,local,,local,,local,,local,"This query pertains to American Express's strategic plans and business direction, which would be found in static documents such as annual reports, 10-K filings, or investor presentations."
15,How is Alphabet integrating Gemini AI across its product portfolio?,web,2,"['alphabet', 'gemini', 'AI_strategy', 'recent_web_or_local_doc', 'product']",uncertain,local,web,,web,,web,,web,"This query asks about Alphabet's current and ongoing AI integration strategy, which requires up-to-date information about recent product updates, announcements, and developments."
16,What does Adobe's Firefly generative AI model do and how is it used commercially?,local,2,"['adobe', 'firefly', 'generative_AI', 'local_doc_overview_or_web_detail', 'product']",uncertain,local,web,,local,,web,,web,Information about Adobe Firefly's current capabilities and commercial usage may have evolved and requires up-to-date sources beyond static historical documents.
17,What are Airbnb's key financial performance metrics that investors track?,local,2,"['airbnb', 'KPIs', 'GBV', 'local_doc_or_web_summary', 'investor_relations']",uncertain,local,local,,local,,local,,local,"This query asks about established financial performance metrics used to evaluate Airbnb, which is static, analytical information found in financial documents and reports rather than real-time market data."
18,How many shares of Amazon common stock were outstanding as of early 2026?,web,2,"['amazon', 'shares_outstanding', 'current_web_or_local_doc', 'specific_date', 'equity']",local,local,local,,local,,local,,local,"The number of shares outstanding as of early 2026 is a static, historical figure typically reported in SEC filings such as a 10-K or 10-Q cover page."
19,What makes American Express's business model different from Visa and Mastercard?,local,2,"['amex', 'differentiated_model', 'local_doc_or_web_analysis', 'competitive_positioning']",uncertain,local,local,,local,,local,,local,"This question asks about structural/conceptual differences in business models, which is static financial knowledge found in company documents and analyses rather than real-time market data."
20,What revenue segments does Alphabet break out in its financial reporting?,local,2,"['alphabet', 'revenue_segments', 'local_doc_or_web_summary', 'google_services', 'google_cloud']",uncertain,local,local,,local,,local,,local,"This query asks about Alphabet's financial reporting structure and revenue segment breakdowns, which is static, document-specific information found in their 10-K or annual reports."
21,What are Adobe's yearly financials for 2025?,local,3,"['adobe', 'bare_query', 'financials', 'highly_vague', 'local_or_web_unclear']",local,local,local,,local,,local,,local,Adobe's yearly financials for 2025 refer to historical/reported fiscal year financial data that would be found in static documents like annual reports or 10-K filings.
22,Tell me about Airbnb.,web,3,"['airbnb', 'open_ended', 'highly_vague', 'business_overview_or_web', 'no_specific_intent']",uncertain,local,web,,local,,web,,web,"The query asks for general information about Airbnb, which likely requires current and up-to-date information about the company rather than specific historical document data."
23,How is Amazon's growth?,local,3,"['amazon', 'bare_query', 'growth', 'highly_vague', 'historical_or_current_unclear']",uncertain,local,web,,web,,web,,web,"Assessing Amazon's growth requires current and up-to-date financial performance data, recent earnings reports, and live market trends."
24,What should I know about Amex before investing?,web,3,"['amex', 'investment_research', 'highly_vague', '10K_risk_or_web_analysis', 'open_ended']",web,local,web,,web,,web,,web,"Investing guidance requires current market conditions, recent news, analyst ratings, and up-to-date financial performance data for American Express."
25,How is Alphabet performing?,web,3,"['alphabet', 'performance', 'highly_vague', 'fy2025_doc_or_current_web', 'open_ended']",uncertain,local,web,,web,,web,,web,"The query asks about current performance of Alphabet, which requires real-time or up-to-date market and financial data."
26,What is the Adobe AI strategy?,local,3,"['adobe', 'AI', 'bare_query', 'local_doc_or_recent_news', 'highly_vague']",uncertain,local,local,,local,,local,,local,"Adobe's AI strategy is typically outlined in static documents such as annual reports, earnings calls, and investor presentations, which are historical and document-specific in nature."
27,What is the outlook for Airbnb?,web,3,"['airbnb', 'forward_looking', 'highly_vague', '10K_guidance_or_analyst_web', 'open_ended']",uncertain,local,web,,web,,web,,web,"Outlook questions require current analyst forecasts, recent earnings guidance, and up-to-date market conditions that change frequently."
28,What is Amazon's seasonality?,local,3,"['amazon', 'bare_query', 'seasonality', 'highly_vague', 'local_doc_or_web_explainer']",uncertain,local,local,,local,,local,,local,"Amazon's seasonality patterns are historical and structural business characteristics derived from past financial reports and filings, not real-time data."
29,What are the Amex card benefits?,web,3,"['amex', 'bare_query', 'card_benefits', 'highly_vague', 'general_info_or_specific_product_web']",uncertain,local,web,,local,,web,,web,"Amex card benefits can change over time and require current, up-to-date information from American Express's live offerings rather than static historical documents."
30,What is Alphabet's moonshots strategy?,local,3,"['alphabet', 'bare_query', 'other_bets', 'highly_vague', 'local_doc_or_recent_news']",uncertain,local,local,,local,,local,,local,"Alphabet's moonshots strategy is a well-documented, historical/static topic found in company filings, reports, and documents rather than requiring real-time data."
31,How many full-time equivalent employees did Apple report worldwide as of the end of fiscal year 2025?,local,1,"['apple', 'headcount', '10K_fact', 'specific_date', 'local_doc']",local,local,local,,local,,local,,local,"The number of full-time equivalent employees reported by Apple at the end of fiscal year 2025 is a static, historical figure disclosed in their annual 10-K filing."
32,What are the three geographic reporting segments Cisco uses to break out its revenue in its FY2025 annual report?,local,1,"['cisco', 'geographic_segments', '10K_fact', 'organizational_structure', 'local_doc']",local,local,local,,local,,local,,local,"This query asks about specific geographic reporting segments from Cisco's FY2025 annual report, which is a static, document-specific financial disclosure found in historical filings."
33,What was Dell Technologies' total net revenue for fiscal year 2025 as stated in its 10-K filing?,local,1,"['dell', 'total_revenue', '10K_fact', 'financials', 'local_doc']",local,local,local,,local,,local,,local,"The query asks for a specific historical financial metric (total net revenue for FY2025) from Dell Technologies' 10-K filing, which is a static document-based data point."
34,What was the total number of orders placed on DoorDash's platform in fiscal year 2025 according to its annual report?,local,1,"['doordash', 'order_volume', '10K_fact', 'platform_metrics', 'local_doc']",local,local,local,,local,,local,,local,"The query asks for a specific historical metric (total orders) from DoorDash's FY2025 annual report, which is a static document-based financial data point."
35,How many retail store locations did GameStop operate globally as of the end of fiscal year 2025 per its 10-K?,local,1,"['gamestop', 'store_count', '10K_fact', 'specific_date', 'local_doc']",local,local,local,,local,,local,,local,"The query asks for a specific historical metric (retail store count) from GameStop's 10-K filing for fiscal year 2025, which is a static, document-specific data point."
36,What two reportable segments does HP Inc. organize its operations into according to its FY2025 10-K filing?,local,1,"['hp', 'business_segments', '10K_fact', 'organizational_structure', 'local_doc']",local,local,local,,local,,local,,local,"The query asks about specific organizational structure information from HP Inc.'s FY2025 10-K filing, which is a static, document-specific financial disclosure."
37,What were IBM's total revenues for fiscal year 2025 as reported in its annual filing?,local,1,"['ibm', 'total_revenue', '10K_fact', 'financials', 'local_doc']",local,local,local,,local,,local,,local,"IBM's total revenues for fiscal year 2025 as reported in its annual filing is historical, static financial data sourced from a specific document (10-K or annual report)."
38,What three primary business segments does Microsoft report in its FY2025 annual report?,local,1,"['microsoft', 'business_segments', '10K_fact', 'organizational_structure', 'local_doc']",local,local,local,,local,,local,,local,"The query asks about business segments reported in Microsoft's FY2025 annual report, which is a static, document-specific piece of financial information found in a filed 10-K or annual report."
39,"How many paid memberships did Netflix report globally as of December 31, 2025 in its annual filing?",local,1,"['netflix', 'paid_memberships', '10K_fact', 'specific_date', 'local_doc']",local,local,local,,local,,local,,local,"This query asks for a specific historical metric (paid memberships as of December 31, 2025) reported in Netflix's annual filing, which is a static, document-specific financial data point."
40,What was Pinterest's global monthly active user count as reported in its FY2025 annual filing?,local,1,"['pinterest', 'monthly_active_users', '10K_fact', 'platform_metrics', 'local_doc']",local,local,local,,local,,local,,local,"The query asks for a specific metric (global monthly active user count) from Pinterest's FY2025 annual filing, which is a static, document-specific data point found in historical financial disclosures."
41,What are the two reportable segments Qualcomm identifies in its FY2025 10-K filing?,local,1,"['qualcomm', 'business_segments', '10K_fact', 'organizational_structure', 'local_doc']",local,local,local,,local,,local,,local,"The query asks about specific segment information disclosed in Qualcomm's FY2025 10-K filing, which is a static, document-specific financial data point."
42,"What was Roblox's daily active user count as of December 31, 2025 as reported in its FY2025 annual report?",local,1,"['roblox', 'daily_active_users', '10K_fact', 'specific_date', 'local_doc']",local,local,local,,local,,local,,local,"The query asks for a specific metric (daily active user count) from Roblox's FY2025 annual report as of a fixed date, which is historical and document-specific financial data."
43,What was Salesforce's total revenue for fiscal year 2025 as reported in its 10-K annual filing?,local,1,"['salesforce', 'total_revenue', '10K_fact', 'financials', 'local_doc']",local,local,local,,local,,local,,local,"The query asks for Salesforce's FY2025 total revenue as reported in its 10-K annual filing, which is historical, static financial data from a specific document."
44,What was Snowflake's total product revenue for fiscal year 2025 according to its annual report?,local,1,"['snowflake', 'product_revenue', '10K_fact', 'financials', 'local_doc']",local,local,local,,local,,local,,local,"The query asks for Snowflake's total product revenue for fiscal year 2025 from its annual report, which is historical, static financial data found in a 10-K or similar document."
45,How many trips did Uber complete globally in fiscal year 2025 as disclosed in its annual filing?,local,1,"['uber', 'trip_volume', '10K_fact', 'platform_metrics', 'local_doc']",local,local,local,,local,,local,,local,"The query asks for a specific historical metric (total trips completed globally in FY2025) as disclosed in Uber's annual filing, which is static document-specific financial data."
46,What is Visa's current stock price as of today?,web,1,"['visa', 'stock_price', 'real_time', 'financial_market', 'web_only']",web,local,web,,web,,web,,web,"The query asks for Visa's current stock price as of today, which requires real-time live market data."
47,What promotions or sale events has Wayfair announced in the last 30 days?,web,1,"['wayfair', 'recent_news', 'promotions', 'post_filing', 'web_only']",uncertain,local,web,,web,,web,,web,"Promotions or sale events announced in the last 30 days require real-time or recent web data, as this is current and time-sensitive marketing information not found in static documents."
48,What new hardware products has Apple announced or released in the last 30 days?,web,1,"['apple', 'product_launch', 'recent_news', 'post_filing', 'web_only']",uncertain,local,web,,web,,web,,web,"The query asks for Apple hardware announcements or releases within the last 30 days, requiring real-time or current news data that cannot be found in static documents."
49,What is Microsoft's current market capitalization?,web,1,"['microsoft', 'market_cap', 'real_time', 'financial_market', 'web_only']",web,local,web,,web,,web,,web,Market capitalization changes in real-time based on live stock price fluctuations and requires current market data.
50,What new original shows or movies did Netflix release this week?,web,1,"['netflix', 'content_releases', 'real_time', 'post_filing', 'web_only']",uncertain,local,web,,web,,web,,web,"This query asks for current, real-time information about Netflix releases this week, which requires live or up-to-date web data."
51,What is Uber's current Wall Street analyst consensus price target?,web,1,"['uber', 'analyst_ratings', 'real_time', 'investment', 'web_only']",web,local,web,,web,,web,,web,"Analyst consensus price targets are dynamic and updated in real-time as analysts revise their ratings, requiring live market data sources."
52,Has Salesforce announced any acquisitions or major partnerships in 2026?,web,1,"['salesforce', 'acquisitions', 'recent_news', 'post_filing', 'web_only']",local,local,web,,web,,web,,web,"This query asks about announcements and events occurring in 2026, requiring real-time or current news data rather than static historical documents."
53,What is IBM's current trailing twelve-month earnings per share?,web,1,"['ibm', 'EPS', 'real_time', 'financial_market', 'web_only']",web,local,web,,web,,web,,web,"Trailing twelve-month EPS is a rolling, continuously updated metric that requires current/real-time financial data to reflect the most recent quarters."
54,What cybersecurity vulnerabilities or threats has Cisco publicly disclosed or warned about in the past month?,web,1,"['cisco', 'cybersecurity', 'recent_news', 'post_filing', 'web_only']",local,local,web,,web,,web,,web,"This query asks for recent cybersecurity disclosures and warnings from Cisco within the past month, requiring real-time or current information that cannot be found in static historical documents."
55,What is Dell's current price-to-earnings ratio based on the latest market data?,web,1,"['dell', 'valuation_metric', 'real_time', 'financial_market', 'web_only']",web,local,web,,web,,web,,web,"The query requests Dell's current P/E ratio based on the latest market data, which requires real-time stock price and earnings data."
56,What new cities or international markets has DoorDash expanded into in 2026?,web,1,"['doordash', 'expansion', 'recent_news', 'post_filing', 'web_only']",local,local,web,,web,,web,,web,Information about DoorDash's 2026 market expansions requires real-time or current news data that would not be available in static historical documents.
57,What new advertising or creator monetization features has Pinterest launched recently?,web,1,"['pinterest', 'advertising', 'recent_news', 'post_filing', 'web_only']",uncertain,local,web,,web,,web,,web,"This query asks about recently launched features, requiring up-to-date information about Pinterest's latest product announcements and developments."
58,Which recent chip licensing deal or OEM partnership has Qualcomm announced?,web,1,"['qualcomm', 'partnerships', 'recent_news', 'post_filing', 'web_only']",uncertain,local,web,,web,,web,,web,"The query asks about recent/current announcements of chip licensing deals or OEM partnerships, which requires real-time or up-to-date news data."
59,What major brand collaborations or gaming events has Roblox announced this quarter?,web,1,"['roblox', 'collaborations', 'recent_news', 'post_filing', 'web_only']",uncertain,local,web,,web,,web,,web,"This query asks about current quarter announcements and recent brand collaborations or gaming events, which requires real-time or up-to-date information not available in static documents."
60,What product or partnership announcements has Snowflake made at its most recent investor or developer event?,web,1,"['snowflake', 'announcements', 'recent_news', 'post_filing', 'web_only']",web,local,web,,web,,web,,web,"This query asks about the most recent announcements from Snowflake's latest event, requiring real-time or current information that would not be available in static historical documents."
61,What are GameStop's main revenue streams and how has the business shifted toward digital sales?,local,2,"['gamestop', 'revenue_streams', 'digital_transition', 'local_doc_or_web_analysis', 'business_model']",uncertain,local,local,,local,,local,,local,"This query asks about GameStop's historical revenue streams and business model evolution toward digital sales, which is static financial and strategic information found in past filings and reports."
62,How does Apple's Services segment contribute to its overall revenue compared to iPhone hardware sales?,local,2,"['apple', 'services_segment', 'revenue_mix', 'local_doc_or_web_summary', 'financials']",uncertain,local,local,,local,,local,,local,"This query asks for a comparative analysis of Apple's Services segment vs. iPhone hardware revenue, which is based on historical financial data available in past earnings reports or 10-K filings."
63,What is Microsoft's strategy for growing Azure cloud services in competition with AWS and Google Cloud?,web,2,"['microsoft', 'azure', 'cloud_strategy', 'competitive_analysis', 'current_market_or_local_doc']",uncertain,local,local,,local,,local,,local,"Microsoft's Azure growth strategy is documented in static sources like annual reports, 10-K filings, and earnings call transcripts, making it a document-specific strategic question rather than a real-time data request."
64,What is Netflix's approach to content spending and how does it impact the company's path to profitability?,local,2,"['netflix', 'content_spend', 'profitability', 'local_doc_or_web_analysis', 'financials']",uncertain,local,local,,local,,local,,local,"This query asks about Netflix's content spending strategy and profitability path, which are topics covered in historical financial documents like 10-K filings, earnings reports, and static analyst reports."
65,How does Uber Eats contribute to Uber's total gross bookings and overall business mix?,local,2,"['uber', 'uber_eats', 'gross_bookings', 'local_doc_or_web_summary', 'segment_breakdown']",uncertain,local,local,,local,,local,,local,"This query asks about Uber Eats' contribution to gross bookings and business mix, which is a structural/historical financial analysis best answered from static documents like 10-K filings or earnings reports."
66,How does Visa's global payment network compare to Mastercard's in terms of transaction volume and market share?,web,2,"['visa', 'competitive_analysis', 'mastercard', 'current_market_or_local_doc', 'payments']",uncertain,local,web,,web,,web,,web,Comparing Visa and Mastercard's current transaction volume and market share requires up-to-date competitive market data that changes over time.
67,What is IBM's strategy for growing its hybrid cloud and AI consulting business?,local,2,"['ibm', 'hybrid_cloud', 'AI_consulting', 'local_doc_or_web_analysis', 'strategy']",uncertain,local,local,,local,,local,,local,"IBM's hybrid cloud and AI consulting strategy is documented in static sources such as annual reports, 10-K filings, and investor presentations, making it a document-specific query rather than a real-time data request."
68,How has Salesforce's acquisition of Slack changed its product strategy and enterprise offerings?,web,2,"['salesforce', 'slack_acquisition', 'product_strategy', 'recent_web_or_local_doc', 'enterprise']",uncertain,local,local,,local,,local,,local,"This query asks about the strategic and product impact of a completed historical acquisition (Salesforce-Slack, closed 2021), which is static, documented information found in filings, earnings calls, and analyst reports."
69,What industries are Snowflake's largest customers concentrated in according to its annual report?,local,2,"['snowflake', 'customer_concentration', 'industry_verticals', 'local_doc_or_web_summary', 'enterprise']",local,local,local,,local,,local,,local,"This query asks about customer industry concentration data found in Snowflake's annual report, which is a static, document-specific financial filing."
70,What is DoorDash's take rate and how does it compare to competitors like Uber Eats and Grubhub?,web,2,"['doordash', 'take_rate', 'competitive_analysis', 'current_market_or_local_doc', 'unit_economics']",uncertain,local,web,,web,,web,,web,"Comparing current take rates across DoorDash, Uber Eats, and Grubhub requires up-to-date competitive market data that may have changed recently."
71,How does Pinterest monetize its platform and what is its average revenue per user?,local,2,"['pinterest', 'monetization', 'ARPU', 'local_doc_or_web_summary', 'advertising']",uncertain,local,local,,local,,local,,local,Pinterest's monetization model and average revenue per user (ARPU) are static business metrics found in historical financial documents like 10-K filings and earnings reports.
72,How dependent is Qualcomm on Apple as a customer for its semiconductor revenues?,web,2,"['qualcomm', 'apple_dependency', 'customer_concentration', 'current_market_or_local_doc', 'semiconductors']",uncertain,local,local,,local,,local,,local,"This query concerns Qualcomm's historical customer concentration and revenue dependency on Apple, which is documented in past financial filings such as 10-K reports."
73,How does Roblox's developer economy work and what role does the Robux virtual currency play?,local,2,"['roblox', 'developer_economy', 'robux', 'local_doc_or_web_explainer', 'platform_model']",uncertain,local,local,,local,,local,,local,"This query asks about Roblox's developer economy structure and Robux currency mechanics, which are static, well-documented business model concepts found in company filings and reports rather than real-time market data."
74,What regulatory risks does Apple face in the European Union related to App Store policies?,web,2,"['apple', 'regulatory_risk', 'EU', 'current_web_or_local_doc', 'DMA']",uncertain,local,local,,web,,local,,local,"Regulatory risks related to Apple's App Store policies in the EU are documented in Apple's filings and reports as static, historical risk disclosures rather than real-time market data."
75,How is Cisco transitioning its business model from hardware sales to software subscriptions and recurring revenue?,local,2,"['cisco', 'business_model_transition', 'software_subscriptions', 'local_doc_or_web_analysis', 'strategy']",uncertain,local,local,,local,,local,,local,"This query asks about Cisco's business model transition strategy, which is documented in historical filings, annual reports, and static financial disclosures rather than requiring real-time market data."
76,What were Wayfair's key financial performance metrics and customer trends for last fiscal year?,local,2,"['wayfair', 'KPIs', 'financials', 'local_doc_or_web_summary', 'ecommerce']",local,local,local,,local,,local,,local,"Wayfair's key financial performance metrics and customer trends for last fiscal year are historical, static data that would be found in past financial reports such as 10-K filings."
77,What is Dell's current market position in the enterprise server and PC market relative to HP and Lenovo?,web,2,"['dell', 'market_position', 'competitive_analysis', 'current_market_or_local_doc', 'enterprise_hardware']",web,local,web,,web,,web,,web,Current market position and competitive standing relative to HP and Lenovo requires up-to-date market share data and recent industry analysis.
78,How does HP Inc. split its revenue between the personal systems and printing segments?,local,2,"['hp', 'segment_revenue', 'personal_systems', 'local_doc_or_web_summary', 'printing']",uncertain,local,local,,local,,local,,local,"HP Inc.'s revenue split between personal systems and printing segments is historical, segment-reported financial data found in static documents like annual reports or 10-K filings."
79,What are the key financial highlights from Microsoft's annual financial report?,local,2,"['microsoft', 'financial_highlights', 'local_doc_or_web_summary', 'annual_results', 'financials']",uncertain,local,local,,local,,local,,local,"Microsoft's annual financial report contains historical, static financial data such as revenue, earnings, and other metrics from a completed fiscal year."
80,What is GameStop's strategy for remaining relevant as gaming moves increasingly toward digital distribution?,web,2,"['gamestop', 'digital_strategy', 'competitive_positioning', 'current_web_or_local_doc', 'retail']",uncertain,local,local,,web,,web,,local,"GameStop's strategic direction regarding digital distribution is documented in historical filings, annual reports, and static company disclosures rather than requiring real-time data."
81,What's the deal with Apple?,web,3,"['apple', 'open_ended', 'highly_vague', 'business_overview_or_web', 'no_specific_intent']",uncertain,local,web,,web,,error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}",error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}"
82,How is Microsoft doing?,web,3,"['microsoft', 'performance', 'highly_vague', 'fy2025_doc_or_current_web', 'open_ended']",uncertain,local,error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}",error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}",error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}",error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}"
83,Tell me about Netflix's finances.,local,3,"['netflix', 'bare_query', 'financials', 'highly_vague', 'local_or_web_unclear']",uncertain,local,error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}",error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}",error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}",error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}"
84,What should I know about Uber before investing?,web,3,"['uber', 'investment_research', 'highly_vague', '10K_risk_or_web_analysis', 'open_ended']",web,local,error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}",error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}",error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}",error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}"
85,How is Visa's business?,local,3,"['visa', 'bare_query', 'performance', 'highly_vague', 'local_or_web_unclear']",uncertain,local,error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}",error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}",error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}",error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}"
86,What's IBM up to these days?,web,3,"['ibm', 'open_ended', 'highly_vague', 'recent_news_or_doc_overview', 'no_specific_intent']",uncertain,local,error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}",error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}",error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}",error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}"
87,What is Salesforce's growth?,local,3,"['salesforce', 'bare_query', 'growth', 'highly_vague', 'historical_or_current_unclear']",uncertain,local,error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}",error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}",error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}",error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}"
88,Tell me about Snowflake.,web,3,"['snowflake', 'open_ended', 'highly_vague', 'business_overview_or_web', 'no_specific_intent']",web,local,error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}",error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}",error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}",error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}"
89,How is DoorDash performing?,local,3,"['doordash', 'bare_query', 'performance', 'highly_vague', 'local_or_web_unclear']",uncertain,local,error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}",error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}",error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}",error,"Error code: 402 - {'error': {'message': 'Insufficient credits. Add more using https://openrouter.ai/settings/credits', 'code': 402}}"
